model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,135,robust,0.007,0.2,0.11532407775262388,0.009339828944205592,"[np.float64(0.11584), np.float64(0.11131), np.float64(0.12669), np.float64(0.12279), np.float64(0.1)]",0.3929603099822998,103
ElasticNet,109,robust,0.003,0.5,0.11540157675081719,0.009496003635460047,"[np.float64(0.11578), np.float64(0.11147), np.float64(0.12714), np.float64(0.1228), np.float64(0.09982)]",0.36953186988830566,104
ElasticNet,104,standard,0.003,0.2,0.11550672571917105,0.007446425516413498,"[np.float64(0.11325), np.float64(0.11694), np.float64(0.11846), np.float64(0.12582), np.float64(0.10306)]",0.4248955249786377,105
ElasticNet,90,standard,0.002,0.3,0.11555709749246885,0.007413296169076313,"[np.float64(0.1133), np.float64(0.11698), np.float64(0.11857), np.float64(0.12579), np.float64(0.10315)]",0.5089716911315918,106
ElasticNet,76,standard,0.0015,0.4,0.1155855196048278,0.007399554899966608,"[np.float64(0.11332), np.float64(0.11702), np.float64(0.11862), np.float64(0.12577), np.float64(0.10319)]",0.5926554203033447,107
ElasticNet,121,robust,0.005,0.3,0.11559340681428483,0.009481673686339254,"[np.float64(0.11602), np.float64(0.11146), np.float64(0.12725), np.float64(0.12312), np.float64(0.10011)]",0.40839624404907227,108
Ridge,9,robust,1.0,,0.11559756780541035,0.008016306936711515,"[np.float64(0.11651), np.float64(0.11739), np.float64(0.11866), np.float64(0.12478), np.float64(0.10065)]",0.20693230628967285,109
ElasticNet,146,standard,0.01,0.05,0.11590873275110236,0.007692618673003199,"[np.float64(0.11331), np.float64(0.11746), np.float64(0.11856), np.float64(0.12691), np.float64(0.10331)]",0.507030725479126,110
ElasticNet,116,standard,0.005,0.1,0.11604028891280223,0.007558168634750915,"[np.float64(0.11369), np.float64(0.11743), np.float64(0.11875), np.float64(0.12677), np.float64(0.10356)]",0.48464536666870117,111
ElasticNet,3,robust,0.0003,0.1,0.11605649959570072,0.008027457178943237,"[np.float64(0.11721), np.float64(0.1182), np.float64(0.1186), np.float64(0.12524), np.float64(0.10104)]",5.635593891143799,112
ElasticNet,149,robust,0.01,0.15,0.11613271478804747,0.009481818007529253,"[np.float64(0.11685), np.float64(0.11178), np.float64(0.12748), np.float64(0.12393), np.float64(0.10063)]",0.3918497562408447,113
Ridge,7,robust,0.8,,0.11626724612371446,0.008011179684242765,"[np.float64(0.11735), np.float64(0.11824), np.float64(0.11898), np.float64(0.12547), np.float64(0.10131)]",0.207841157913208,114
ElasticNet,62,standard,0.001,0.5,0.11627553828677475,0.007369992041611461,"[np.float64(0.11433), np.float64(0.11763), np.float64(0.11907), np.float64(0.12648), np.float64(0.10387)]",0.6889798641204834,115
ElasticNet,48,standard,0.0007,0.7,0.11640154176957831,0.0073356463657778285,"[np.float64(0.11459), np.float64(0.11778), np.float64(0.11915), np.float64(0.12651), np.float64(0.10398)]",0.7356338500976562,116
ElasticNet,102,standard,0.003,0.15,0.11648833675988787,0.007482467400455685,"[np.float64(0.11447), np.float64(0.11776), np.float64(0.1191), np.float64(0.12708), np.float64(0.10403)]",0.4246537685394287,117
Ridge,32,standard,100.0,,0.11662502780132464,0.008302104196846677,"[np.float64(0.11466), np.float64(0.11998), np.float64(0.11721), np.float64(0.12843), np.float64(0.10285)]",0.10992693901062012,118
ElasticNet,74,standard,0.0015,0.3,0.11663073630480666,0.007407008806489408,"[np.float64(0.11489), np.float64(0.11781), np.float64(0.11931), np.float64(0.12699), np.float64(0.10416)]",0.6610229015350342,119
ElasticNet,88,standard,0.002,0.2,0.11699050030290696,0.007475752481690115,"[np.float64(0.11551), np.float64(0.11814), np.float64(0.11941), np.float64(0.12752), np.float64(0.10437)]",0.5522277355194092,120
Ridge,30,standard,80.0,,0.11703687848739663,0.008329863254950968,"[np.float64(0.11489), np.float64(0.1203), np.float64(0.11769), np.float64(0.12899), np.float64(0.10331)]",0.11002397537231445,121
ElasticNet,130,standard,0.007,0.05,0.1170574059223787,0.007739607456546221,"[np.float64(0.11507), np.float64(0.11851), np.float64(0.11915), np.float64(0.12828), np.float64(0.10428)]",0.5723087787628174,122
ElasticNet,60,standard,0.001,0.4,0.11714001713712956,0.007433905214902976,"[np.float64(0.11603), np.float64(0.11823), np.float64(0.11958), np.float64(0.12744), np.float64(0.10442)]",0.7389976978302002,123
ElasticNet,1,robust,0.0003,0.05,0.11731682119764328,0.00807166391438757,"[np.float64(0.11881), np.float64(0.11956), np.float64(0.11934), np.float64(0.12663), np.float64(0.10223)]",8.08450722694397,124
ElasticNet,46,standard,0.0007,0.5,0.11772145512141582,0.007465495804432444,"[np.float64(0.11742), np.float64(0.11876), np.float64(0.11982), np.float64(0.12791), np.float64(0.10471)]",0.7852523326873779,125
Ridge,5,robust,0.5,,0.11772220934869612,0.008051333616836943,"[np.float64(0.11935), np.float64(0.11989), np.float64(0.11969), np.float64(0.12702), np.float64(0.10267)]",0.20967960357666016,126
ElasticNet,123,robust,0.005,0.4,0.11774464666749766,0.01003629961021472,"[np.float64(0.11842), np.float64(0.11246), np.float64(0.13053), np.float64(0.12545), np.float64(0.10186)]",0.36982154846191406,127
ElasticNet,32,standard,0.0005,0.7,0.11778390048038714,0.007444408162051719,"[np.float64(0.11765), np.float64(0.11883), np.float64(0.11986), np.float64(0.12785), np.float64(0.10473)]",0.776592493057251,128
ElasticNet,100,standard,0.003,0.1,0.11782155928031852,0.007646330419199997,"[np.float64(0.11689), np.float64(0.11905), np.float64(0.11971), np.float64(0.12864), np.float64(0.10481)]",0.6275489330291748,129
Ridge,28,standard,50.0,,0.11792604167233686,0.008352443674033563,"[np.float64(0.11561), np.float64(0.12102), np.float64(0.11867), np.float64(0.13006), np.float64(0.10428)]",0.11183905601501465,130
ElasticNet,86,standard,0.002,0.15,0.11794137894358352,0.007591926074446904,"[np.float64(0.11741), np.float64(0.119), np.float64(0.11984), np.float64(0.12857), np.float64(0.10489)]",0.5970447063446045,131
ElasticNet,72,standard,0.0015,0.2,0.11803998142394923,0.007576400572681274,"[np.float64(0.11777), np.float64(0.11901), np.float64(0.11994), np.float64(0.12855), np.float64(0.10493)]",0.6464807987213135,132
ElasticNet,111,robust,0.003,0.7,0.11804087704159397,0.010187876402072294,"[np.float64(0.11874), np.float64(0.11283), np.float64(0.13117), np.float64(0.12561), np.float64(0.10187)]",0.3604612350463867,133
ElasticNet,114,standard,0.005,0.05,0.1181408984233279,0.007810381901111902,"[np.float64(0.11695), np.float64(0.11966), np.float64(0.11984), np.float64(0.12929), np.float64(0.10495)]",0.7803025245666504,134
ElasticNet,58,standard,0.001,0.3,0.11815593708253673,0.0075612307415209665,"[np.float64(0.11824), np.float64(0.11905), np.float64(0.12003), np.float64(0.1285), np.float64(0.10495)]",0.7431581020355225,135
ElasticNet,151,robust,0.01,0.2,0.11817726951862564,0.009909038269224372,"[np.float64(0.11918), np.float64(0.1127), np.float64(0.13038), np.float64(0.12616), np.float64(0.10246)]",0.3566558361053467,136
