search_type,oof_log_rmse,weights
random_dirichlet,0.1270570926018725,0.53647 | 0.03322 | 0.02393 | 0.09464 | 0.17586 | 0.13588
random_dirichlet,0.12705806618884666,0.51535 | 0.02885 | 0.16031 | 0.07562 | 0.16707 | 0.05280
random_dirichlet,0.12705828188358295,0.52692 | 0.03896 | 0.09590 | 0.17564 | 0.13553 | 0.02706
random_dirichlet,0.12705841538986432,0.54370 | 0.00550 | 0.08185 | 0.22410 | 0.11385 | 0.03100
random_dirichlet,0.12705901467645053,0.55797 | 0.12769 | 0.01207 | 0.02622 | 0.22322 | 0.05284
random_dirichlet,0.12705910386050007,0.53771 | 0.04367 | 0.01507 | 0.20991 | 0.13283 | 0.06080
random_dirichlet,0.12705970644705653,0.70919 | 0.01494 | 0.04479 | 0.09213 | 0.07997 | 0.05898
random_dirichlet,0.12705973283796393,0.52819 | 0.01165 | 0.08129 | 0.06809 | 0.26075 | 0.05003
random_dirichlet,0.12705984162403117,0.56141 | 0.05754 | 0.00531 | 0.01141 | 0.18678 | 0.17755
random_dirichlet,0.1270598476154068,0.68356 | 0.00587 | 0.01016 | 0.04584 | 0.18558 | 0.06899
random_dirichlet,0.1270606030250805,0.54408 | 0.05707 | 0.17933 | 0.02515 | 0.13288 | 0.06149
random_dirichlet,0.1270611829789865,0.50242 | 0.06264 | 0.00219 | 0.21374 | 0.18296 | 0.03605
random_dirichlet,0.1270615452528732,0.62167 | 0.05675 | 0.06690 | 0.01218 | 0.23122 | 0.01128
random_dirichlet,0.1270622424683439,0.59846 | 0.06665 | 0.09458 | 0.11968 | 0.07815 | 0.04248
random_dirichlet,0.12706232520805272,0.60791 | 0.05028 | 0.11242 | 0.00749 | 0.09968 | 0.12222
random_dirichlet,0.12706233381072293,0.52450 | 0.06606 | 0.13283 | 0.02197 | 0.17265 | 0.08199
random_dirichlet,0.1270626813492611,0.62888 | 0.20284 | 0.00552 | 0.07280 | 0.08305 | 0.00691
random_dirichlet,0.1270629054882796,0.55229 | 0.13323 | 0.05463 | 0.00291 | 0.15901 | 0.09792
random_dirichlet,0.12706311539395815,0.49534 | 0.00332 | 0.09108 | 0.11480 | 0.23853 | 0.05693
random_dirichlet,0.12706322436259904,0.52202 | 0.13059 | 0.04781 | 0.06003 | 0.22766 | 0.01190
random_dirichlet,0.12706328702950354,0.59366 | 0.08272 | 0.03044 | 0.03392 | 0.11724 | 0.14202
random_dirichlet,0.12706332645318885,0.50762 | 0.04684 | 0.04302 | 0.10013 | 0.22079 | 0.08160
random_dirichlet,0.1270643330979043,0.72753 | 0.02871 | 0.01779 | 0.09837 | 0.11970 | 0.00790
random_dirichlet,0.12706487075093761,0.55644 | 0.11112 | 0.02474 | 0.01369 | 0.23452 | 0.05949
random_dirichlet,0.12706516243685156,0.56647 | 0.14410 | 0.09876 | 0.04409 | 0.11020 | 0.03637
random_dirichlet,0.12706559109221027,0.51916 | 0.02669 | 0.09565 | 0.03149 | 0.19982 | 0.12718
random_dirichlet,0.12706571493515068,0.68784 | 0.10881 | 0.04841 | 0.00102 | 0.09786 | 0.05606
random_dirichlet,0.12706600493022646,0.52930 | 0.06941 | 0.04247 | 0.17098 | 0.13616 | 0.05169
random_dirichlet,0.1270663081886131,0.57193 | 0.01928 | 0.07255 | 0.22453 | 0.08346 | 0.02825
random_dirichlet,0.12706673360493115,0.51673 | 0.03675 | 0.00925 | 0.09119 | 0.21465 | 0.13143
random_dirichlet,0.1270668164949567,0.51620 | 0.12020 | 0.00299 | 0.09100 | 0.20194 | 0.06766
random_dirichlet,0.12706694994123172,0.53287 | 0.05710 | 0.03535 | 0.09969 | 0.15699 | 0.11800
random_dirichlet,0.1270676440850255,0.60406 | 0.03597 | 0.14774 | 0.14330 | 0.06035 | 0.00858
random_dirichlet,0.12706771639532913,0.55556 | 0.00766 | 0.11206 | 0.14912 | 0.10585 | 0.06975
random_dirichlet,0.12706812573531462,0.51907 | 0.12668 | 0.02595 | 0.05748 | 0.20209 | 0.06873
